pole_rs111,pole_rs211_low,pole_rs211_high,pole_rs221,pole_rs222
NaN + NaN*im,6.187538570328418 + 1.3281669149574759e-16im,6.887313791807741 + 0.15652557911811377im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.184722953553898 - 7.231520645317028e-14im,6.8766644013488 + 0.11626298905772037im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189148046678365 + 1.9331848668069585e-11im,6.855303433501638 + 0.2320506581026714im,NaN + NaN*im,NaN + NaN*im
6.174880950256045 + 7.166506608448286e-11im,NaN + NaN*im,6.879018923882238 + 0.09975799906298596im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.181699627822688 + 1.7531744204484129e-12im,6.870863654853257 + 0.1052318179200694im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191688572474062 - 9.699872056118421e-14im,6.907313388257916 + 0.20472989518128604im,NaN + NaN*im,NaN + NaN*im
6.180840715883587 + 1.0322335848843006e-12im,NaN + NaN*im,6.885950708978582 + 0.1098197494024406im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187853470406931 + 1.0459715389345286e-16im,6.855428954880186 + 0.2072990112248504im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.184112512488043 - 1.1607008206072563e-13im,6.851268221919322 + 0.12553760966054014im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187045214468147 - 5.410506712963622e-17im,6.861906011645486 + 0.18292817203345701im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1889457839137005 + 1.0793030156149133e-11im,6.901802521806989 + 0.15654242542638472im,NaN + NaN*im,NaN + NaN*im
