pole_rs1,pole_rs2_low,pole_rs2_high,pole_rs3
NaN + NaN*im,6.201110006881406 + 0.010733196353082348im,6.5373809031685735 - 0.23102095941752632im,6.8355353042262355 + 0.13120560393451014im
NaN + NaN*im,6.203829876962468 + 0.011152313139983501im,6.547985770894141 - 0.2310372321197227im,6.836197194785118 + 0.13198534481851196im
NaN + NaN*im,6.206204288077582 + 0.01130118170230943im,6.561987841741069 - 0.24117463105750064im,6.833586507598035 + 0.1358669376838861im
NaN + NaN*im,6.206911654751249 + 0.0113479320218447im,6.567620830157094 - 0.25016841617252905im,6.830600010291133 + 0.13871235639548118im
NaN + NaN*im,6.207286291977534 + 0.011398515730396177im,6.571019625166772 - 0.25844446146121147im,6.827594137741735 + 0.1411209766855265im
NaN + NaN*im,6.20766906491725 + 0.011511403380282406im,6.574401659637329 - 0.27422635286102864im,6.821416922331311 + 0.14510498407699876im
NaN + NaN*im,6.207731388863187 + 0.011652855068602678im,6.574698336528842 - 0.2894501505040264im,6.815080856428972 + 0.1482513616118555im
NaN + NaN*im,6.2075417444706025 + 0.011817378287806903im,6.572201522662211 - 0.30435002821239926im,6.80861131228291 + 0.1504743334086475im
NaN + NaN*im,6.207085759030484 + 0.012004577510271869im,6.566717983626026 - 0.31849818696498355im,6.8023938080031545 + 0.15159489263134668im
NaN + NaN*im,6.206223923138722 + 0.01219245356257749im,6.557789628444385 - 0.3310348692273755im,6.797071187195059 + 0.15153588996886666im
NaN + NaN*im,6.20471076911765 + 0.012320181044596978im,6.544535647522869 - 0.34015922150358485im,6.793467993420076 + 0.15018224978090114im
NaN + NaN*im,6.201666211198113 + 0.01209928422261323im,6.525379621991672 - 0.3400616003507313im,6.794022812062054 + 0.14749302820068905im
NaN + NaN*im,6.195035886529489 + 0.009415414741692987im,6.506913468431016 - 0.31460949851003267im,6.8035059707702805 + 0.14356446995178912im
NaN + NaN*im,6.197528452426223 + 0.010722526775179288im,6.523293210083778 - 0.3118624694821273im,6.794175610753985 + 0.14481475501840252im
NaN + NaN*im,6.2003603661974 + 0.011370457828147437im,6.54345888425085 - 0.2932930094287479im,6.798291991774752 + 0.14496226858103461im
NaN + NaN*im,6.203799041881356 + 0.011485451346521944im,6.561536461597508 - 0.2613842652643884im,6.814642055588997 + 0.1408860468824247im
NaN + NaN*im,6.205141356066185 + 0.011388602188098043im,6.564131326950492 - 0.2484637657841342im,6.824030319669088 + 0.13794899931990842im
NaN + NaN*im,6.206235943506182 + 0.011302901408293082im,6.5621417924858845 - 0.24139339440458246im,6.833530544825052 + 0.13593000551444268im
6.190265905480732 + 1.226209005919441e-16im,6.165007666746677 + 9.397631729702632e-11im,6.5499422250353 - 0.24410070717400362im,6.829514412456352 + 0.14259549840733599im
6.188936672211015 - 9.366917689852878e-10im,6.16172555907009 + 2.71707257728078e-11im,6.549823342085969 - 0.24567752114093613im,6.829240539110492 + 0.14322986878253444im
6.187555070536202 + 8.89858879300738e-19im,6.1554023254841 + 2.4781327617363653e-12im,6.538968475586052 - 0.2658315646886485im,6.821560764138392 + 0.14683794629156224im
6.185505896176077 - 6.952947771338516e-17im,6.1450308788191785 + 4.1389918498018735e-14im,6.518636831879956 - 0.29083569574362844im,6.811240660002279 + 0.14986937736728606im
6.185019628953094 + 6.26180034140814e-16im,6.142389614629647 + 1.3659212646532657e-14im,6.513411902990809 - 0.2957702818329655im,6.809091514710362 + 0.1502734165620546im
6.190934496147545 - 3.6045063694686177e-12im,6.157665432407764 + 6.88591691741486e-12im,6.15766543243316 - 6.5652148447636285e-12im,6.81030878546164 + 0.14772692795327313im
NaN + NaN*im,6.195853098801762 + 0.009984153162812886im,6.511252912999532 - 0.3167596135414658im,6.79787763013869 + 0.14398357620352176im
NaN + NaN*im,6.1995861011214295 + 0.011257861679135511im,6.53811518627693 - 0.2994524252984708im,6.7962059066726725 + 0.14519767194602806im
NaN + NaN*im,6.204290485083619 + 0.011447193611880903im,6.5628077699151675 - 0.25612555809173193im,6.817988618018584 + 0.13971081130049035im
NaN + NaN*im,6.206252924395946 + 0.01129726429404429im,6.561394605109557 - 0.24090825826384124im,6.83431470145999 + 0.13572404077776518im
6.188998207563377 - 7.981079106130097e-10im,6.162047057110082 + 3.064649657406628e-11im,6.550467761946844 - 0.24443900671689903im,6.8296723158574135 + 0.14299938380387708im
6.187102119793043 - 1.1189977414806386e-11im,6.153213587948602 + 1.070074303745432e-12im,6.534826772984434 - 0.2719385151007408im,6.819131914146868 + 0.14773857610368124im
6.18747763842511 + 2.8847333625413775e-13im,6.147724714665487 + 1.3199195733189473e-13im,6.147724714665964 - 8.470331159991453e-15im,6.80935826109967 + 0.14933114600118105im
6.192612499904375 + 1.3847948876341392e-17im,6.164563727449682 + 1.0278722342585685e-10im,6.164563728070718 - 1.8806423298368668e-16im,6.810973456815786 + 0.14675010668342817im
NaN + NaN*im,6.195126874870945 + 0.009475361810971097im,6.506903581477702 - 0.314832942926521im,6.803644261584955 + 0.1435754580333039im
NaN + NaN*im,6.193377424606395 + 0.007801435519418035im,6.1933774242254085 + 0.007801435729942169im,6.809873489245919 + 0.14055622237888804im
NaN + NaN*im,6.194487887785801 + 0.008359573883696349im,6.511675199811373 - 0.28342708994113053im,6.8145177053160175 + 0.1384293334697711im
NaN + NaN*im,6.196054005718755 + 0.009168794464120472im,6.516454420705683 - 0.2747073358226582im,6.817865730805008 + 0.13693494829658956im
NaN + NaN*im,6.197290987236045 + 0.009675430474543655im,6.520417325892653 - 0.26891383772058297im,6.820094131297347 + 0.13599756205232602im
NaN + NaN*im,6.200079465316733 + 0.01050943223879257im,6.52978916936463 - 0.25656751689918045im,6.825029317391824 + 0.13419870888225557im
NaN + NaN*im,6.2021761537713 + 0.010881242933888438im,6.538063054078221 - 0.24709038894482044im,6.829007449456481 + 0.1331306851389506im
NaN + NaN*im,6.202944492026426 + 0.010964937602511344im,6.541860781035341 - 0.2436909636330015im,6.83051909144135 + 0.1329434594675075im
NaN + NaN*im,6.203989118643713 + 0.011062562881343501im,6.546752050175583 - 0.2400923132262162im,6.832140465488256 + 0.13279457113941137im
NaN + NaN*im,6.205100315772029 + 0.011152083015195132im,6.553366421844988 - 0.23763623025430086im,6.833787878309827 + 0.13337268733596128im
NaN + NaN*im,6.206216837765142 + 0.011300840155396792im,6.561952003369024 - 0.24118094334333848im,6.83359893623491 + 0.13584813426008602im
NaN + NaN*im,6.2066267780107856 + 0.011450615581595405im,6.566470345570243 - 0.24865073626130754im,6.8315477064477275 + 0.13864777683863114im
NaN + NaN*im,6.206790791938831 + 0.011636409516524051im,6.569079488162242 - 0.25966076745448im,6.82781958845884 + 0.14192518039578303im
NaN + NaN*im,6.206375893768354 + 0.012058670422382399im,6.567079368734928 - 0.2864156578806546im,6.8174807879222294 + 0.14786876803667962im
NaN + NaN*im,6.202756495188878 + 0.012353229772862566im,6.539118973145888 - 0.32447831300377195im,6.801170061394517 + 0.1496128133762906im
NaN + NaN*im,6.201388187243607 + 0.012151616345570137im,6.530798850439993 - 0.32725657474458314im,6.799866207237072 + 0.14862555999565433im
NaN + NaN*im,6.1950472773382685 + 0.009424867737213002im,6.5069251874703395 - 0.3146434578247381im,6.803516655429005 + 0.1435754264679515im
NaN + NaN*im,6.197775559119427 + 0.010993069408467004im,6.513724038914762 - 0.32551260029015255im,6.7999264633678225 + 0.1457605857347953im
NaN + NaN*im,6.200440180347769 + 0.011933048039816652im,6.524757718401806 - 0.33027915111647416im,6.798499473491669 + 0.14789695521317908im
NaN + NaN*im,6.202633599942951 + 0.012337964183807152im,6.537105290286767 - 0.32865189682610046im,6.799308389342057 + 0.14959096549726497im
NaN + NaN*im,6.204255754028083 + 0.012434058486559377im,6.5487913861431375 - 0.3225252978141782im,6.802032062017354 + 0.15089482018618067im
NaN + NaN*im,6.206472106369822 + 0.012080049841064455im,6.567578690471352 - 0.29187412208462726im,6.815191698705832 + 0.14898203577441457im
NaN + NaN*im,6.206799737389877 + 0.011918647686021595im,6.570032499310589 - 0.28081756587712847im,6.819737694341435 + 0.1470269805864838im
NaN + NaN*im,6.206913344992463 + 0.011754923994896133im,6.570721092558952 - 0.2695749537360375im,6.824155094737869 + 0.14458048383618397im
NaN + NaN*im,6.206897497287201 + 0.011594678086480674im,6.569710481281898 - 0.25896713979938546im,6.828060400028359 + 0.14178563944086636im
NaN + NaN*im,6.206676571298236 + 0.011440062443439102im,6.566849361784626 - 0.24909319196437082im,6.831366331217764 + 0.13877427561409147im
NaN + NaN*im,6.206239032103224 + 0.011306739599223582im,6.562047755601787 - 0.241287560138481im,6.8335465021891695 + 0.13588292374767497im
NaN + NaN*im,6.205099708191066 + 0.011167387051954478im,6.553205428561894 - 0.23666482336641217im,6.834179136165866 + 0.13319267649885744im
